Van Datum;Van Tijdstip;Tot Datum;Tot Tijdstip;EAN;Meter;Metertype;Register;Volume;Eenheid;Validatiestatus
01-01-2023;00:00:00;01-02-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;46,253;kWh;Gevalideerd
01-01-2023;00:00:00;01-02-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;26,815;kWh;Gevalideerd
01-01-2023;00:00:00;01-02-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-01-2023;00:00:00;01-02-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-02-2023;00:00:00;01-03-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;41,872;kWh;Gevalideerd
01-02-2023;00:00:00;01-03-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;31,205;kWh;Gevalideerd
01-02-2023;00:00:00;01-03-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-02-2023;00:00:00;01-03-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-03-2023;00:00:00;01-04-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;47,208;kWh;Gevalideerd
01-03-2023;00:00:00;01-04-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;31,462;kWh;Gevalideerd
01-03-2023;00:00:00;01-04-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
01-03-2023;00:00:00;01-04-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Nacht;0,000;kWh;Gevalideerd
01-04-2023;00:00:00;01-05-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Dag;42,168;kWh;Gevalideerd
01-04-2023;00:00:00;01-05-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Afname Nacht;37,710;kWh;Gevalideerd
01-04-2023;00:00:00;01-05-2023;00:00:00;="541448820059611330";1SAG1105007156;Digitale Meter;Injectie Dag;0,000;kWh;Gevalideerd
